t_sec,imu_wz_rad_s,pwm_l_pct,pwm_r_pct,cl,cr,imu_corr,yaw_filt_rad_s
11.133234,0.00304246,,,,,,
11.166585,0.00131109,,,,,,
11.199911,-0.00361946,,,,,,
11.233234,-0.00361946,,,,,,
11.266582,0.00091141,,,,,,
11.299906,-0.00215339,,,,,,
11.333312,-0.00215339,,,,,,
11.366585,0.00077877,,,,,,
11.400522,-0.00255307,,,,,,
11.433212,-0.00255307,,,,,,
11.466578,0.00277717,,,,,,
11.499878,-0.00202074,,,,,,
11.533204,-0.00202074,,,,,,
11.566530,0.00290981,,,,,,
11.599854,-0.00335243,,,,,,
11.633240,-0.00335243,,,,,,
11.666543,0.00224310,,,,,,
11.699889,0.00224310,,,,,,
11.733204,-0.00228603,,,,,,
11.766560,0.00064438,,,,,,
11.799877,0.00064438,,,,,,
11.833220,-0.00242042,,,,,,
11.866539,0.00171077,,,,,,
11.899819,0.00171077,,,,,,
11.933228,-0.00055467,,,,,,
11.966537,0.00011205,,,,,,
11.999864,0.00011205,,,,,,
12.033235,-0.00108699,,,,,,
12.066471,0.00171077,,,,,,
12.099866,0.00171077,,,,,,
12.133204,-0.00148667,,,,,,
12.166519,0.00077877,,,,,,
12.199884,0.00077877,,,,,,
12.233224,-0.00068731,,,,,,
12.267379,-0.00068731,,,,,,
12.299886,-0.00015499,,,,,,
12.333232,0.00077877,,,,,,
12.366563,0.00077877,,,,,,
12.399891,0.00051173,,,,,,
12.433186,-0.00108699,,,,,,
12.466535,-0.00108699,,,,,,
12.499920,-0.00028763,,,,,,
12.533201,0.00011205,,,,,,
12.566567,0.00011205,,,,,,
12.599898,-0.00295275,,,,,,
12.633138,0.00184342,,,,,,
12.666716,0.00184342,,,,,,
12.699944,-0.00202074,,,,,,
12.733169,0.00251013,,,,,,
12.766602,0.00251013,,,,,,
